the_geom,L_LOW_HN,PHYSICALID,L_HIGH_HN,R_LOW_HN,R_HIGH_HN,L_ZIP,R_ZIP,L_BLKFC_ID,R_BLKFC_ID,ST_LABEL,STATUS,BIKE_LANE,BOROCODE,ST_WIDTH,CREATED,MODIFIED,TRAFDIR,RW_TYPE,FRM_LVL_CO,TO_LVL_CO,SNOW_PRI,PRE_MODIFI,PRE_DIRECT,PRE_TYPE,POST_TYPE,POST_DIREC,POST_MODIF,FULL_STREE,ST_NAME,BIKE_TRAFD,SHAPE_Leng
"MULTILINESTRING ((-73.7826761967837 40.80538577085191, -73.78233987300185 40.81198760260892, -73.78233425532586 40.81215291139918, -73.78232807055433 40.81231820822498, -73.7823213193467 40.81248349241737, -73.78231400016023 40.81264876246566, -73.7823061145369 40.81281401753501, -73.78229766247466 40.8129792569552, -73.78228864243297 40.81314447854541, -73.78227905617378 40.81330968163872, -73.78226890325571 40.813474865061494, -73.78225818389724 40.81364002814391, -73.78224689765865 40.81380516920971, -73.78223504475733 40.81397028792413, -73.78222262541779 40.81413538177454, -73.78220963963471 40.814300451095804, -73.78219608740996 40.81446549404496, -73.78218196962625 40.81463050911578, -73.78216728517745 40.81479549613843, -73.78215203516734 40.81496045343953, -73.78213621849419 40.81512537950911, -73.78211983625572 40.8152902745165, -73.78210288823605 40.81545513578067, -73.78208537531359 40.81561996313552, -73.78206729594444 40.8157847554052, -73.78204865145075 40.81594951158681, -73.78202944271696 40.81611422967144, -73.78200966753442 40.81627890948717, -73.78198932810783 40.81644354986516, -73.78196842355707 40.81660814896068, -73.78194695410123 40.816772705936266, -73.78192492040043 40.81693721995519, -73.78190232157125 40.817101690177886, -73.78187915915858 40.817266114931684, -73.78185543272166 40.817430492875204, -73.78183114181644 40.81759482367224, -73.781806287328 40.81775910514631, -73.78178086925053 40.81792333779959, -73.78175488758929 40.818087518783834, -73.7817283425601 40.81825164826658, -73.78170123460538 40.81841572457305, -73.7816735637249 40.81857974653019, -73.78164532991839 40.818743712964924, -73.78161653340557 40.818907622872125, -73.7815871748472 40.81907147524746, -73.78155725402091 40.81923526942003, -73.78152677114971 40.8193990033795, -73.7814957260118 40.819562676287404, -73.78146411970896 40.81972628714024, -73.78143195246098 40.819889834932816, -73.7813992233856 40.82005331849033, -73.78136593336414 40.820216736808845, -73.78133208283747 40.82038008871606, -73.78129767224644 40.82054337303962, -73.78126270093041 40.8207065882701, -73.78122716910757 40.82086973390481, -73.78119107876299 40.82103280860682, -73.78115442747189 40.821195810863294, -73.78111721787599 40.821358740846264, -73.78107944909749 40.82152159604065, -73.78104112091299 40.82168437611043, -73.78100223442718 40.821847079214415, -73.7809627898572 40.822009705184904, -73.7809227869835 40.82217225251323, -73.78088222690809 40.82233472019572, -73.78084110853104 40.822497106219494, -73.78079943361092 40.82265941108981, -73.78075720170885 40.82282163296249, -73.78071441260703 40.82298376982623, -73.7806710680641 40.82314582218637, -73.78062716631966 40.823307787693544, -73.78058270957789 40.82346966551375, -73.78053769739438 40.82363145547795, -73.7804921295536 40.823793154904735, -73.78044600737262 40.823954764466045, -73.78039933041482 40.82411628164755, -73.78035209867916 40.82427770561092, -73.78030431392823 40.8244390356888, -73.78025597527996 40.82460027070611, -73.78020708295549 40.82476140932241, -73.78015763783591 40.824922450701095, -73.78010764014296 40.82508339333414, -73.7800570903161 40.82524423655159, -73.78000598791382 40.825404979346715, -73.77995433470218 40.82556562004697, -73.77990212979695 40.825726158147326, -73.77984937408203 40.825886591973514, -73.77979606777593 40.8260469210226, -73.77974221176149 40.82620714395536, -73.77968780581831 40.82636725959792, -73.77963284928444 40.826527266943124, -73.7795773450265 40.82668716499053, -73.77952129105873 40.826846952897924, -73.77946468936895 40.82700662865804, -73.77940753907193 40.82716619210087, -73.77934984215388 40.827325641721686, -73.77932787990046 40.827367268432056, -73.77930538665774 40.8274087306178, -73.77928236464193 40.82745002476482, -73.7792588158471 40.82749114786119, -73.77923474205404 40.827532094716716, -73.77921014569793 40.827572862320324, -73.77918502944004 40.82761344598608, -73.77915939593508 40.82765384303833, -73.77913324674165 40.82769404878903, -73.77910658451559 40.827734060227485, -73.77907941191881 40.827773872500245, -73.77905173182663 40.82781348293204, -73.77902354667879 40.82785288717155, -73.7789948591351 40.827892081035415, -73.7789656714076 40.82793106234967, -73.77893598704277 40.82796982559245, -73.77890580781214 40.828008368421365, -73.77887513791829 40.828046686991094, -73.77884397935948 40.82808477711694, -73.77881233523063 40.828122636459106, -73.7787802084172 40.828160259326886, -73.7787476015703 40.828197644217255, -73.77871451867483 40.82823478644677, -73.77868096260522 40.828271683675204, -73.77864693668651 40.82830833071526, -73.77861244335153 40.82834472539339, -73.77857748614146 40.82838086386288, -73.77854206859689 40.82841674244463, -73.77850619381464 40.82845235829619, -73.77846986599641 40.82848770790722, -73.77843308735855 40.828522787931064, -73.77839586210344 40.82855759468985, -73.7783581935479 40.82859212550909, -73.77832008479332 40.82862637620624, -73.77828154047764 40.82866034477948, -73.77824256370172 40.828694027213714, -73.77820315756256 40.82872742066662, -73.77816332692373 40.82876052162902, -73.77812307422121 40.828793327089784, -73.77808240431638 40.8288258342099, -73.778041320308 40.82885803964439, -73.77799982683648 40.828889940721346, -73.77795792766166 40.828921534264644, -73.77791562610352 40.8289528167622, -73.77787292658024 40.82898378604424, -73.77782983351345 40.82901443893592, -73.77778634978095 40.82904477225937, -73.77774248046381 40.82907478351107, -73.77769822976259 40.82910446968324, -73.77765360165681 40.82913382793518, -73.77760860012542 40.829162855593786, -73.77756322892573 40.82919155032049, -73.77751749314287 40.82921990843914, -73.7774713976347 40.82924792828344, -73.77742494572145 40.829275606341355, -73.77737814159997 40.82930294077777, -73.77733099079597 40.829329928084924, -73.7772834972853 40.829356566594846, -73.77723566438486 40.82938285380063, -73.77718749872156 40.829408786699254, -73.77713900339185 40.82943436278337, -73.77709018303385 40.8294595802188, -73.77704104251066 40.82948443583157, -73.77699158645763 40.829508928625046, -73.7769418195202 40.829533054587266, -73.77689174655484 40.82955681255455, -73.77684137264312 40.82958020002344, -73.77679070176102 40.82960321532604, -73.7767397383313 40.829625855119986, -73.77668848875663 40.82964811757455, -73.77663695612979 40.82967000135513, -73.77658514685514 40.82969150412844, -73.77653306468939 40.82971262389107, -73.77648071493647 40.82973335763748, -73.77642810267139 40.82975370487461, -73.77637523231478 40.82977366293026, -73.77632210960837 40.829793229804906, -73.77626873874839 40.82981240399866, -73.77621512569829 40.829831183177376, -73.77616127487259 40.82984956651166, -73.77610719157373 40.829867551498644, -73.77605288088131 40.82988513630506, -73.77599834787218 40.82990231993532, -73.77594359740482 40.82991910072329, -73.77588863566228 40.82993547667039, -73.77583346662034 40.829951446276354, -73.77577809646148 40.829967007710096, -73.77572252893592 40.82998216097862, -73.7756667711123 40.82999690308001, -73.77561082674595 40.8300112325135, -73.77555470245373 40.83002514945926, -73.77549840265604 40.83003865141276, -73.77544193264985 40.830051737546434, -73.77538529795555 40.830064406195554, -73.77532850409007 40.83007665670051, -73.77527155635329 40.83008848739617))",,178314,,,,,,0,0,HIGHLANDS-MARTHAS VYD FERRY RTE,2,,2,0,01/09/2017 12:00:00 AM +0000,02/13/2017 12:00:00 AM +0000,NV,14,13,13,,,,,RTE,,,MARTHA'S VYD-HIGHLANDS FERRY RTE,MARTHA'S VYD-HIGHLANDS FERRY,,9638.88889393
"MULTILINESTRING ((-74.15218496652557 40.61954944202278, -74.15166130314752 40.61998634639232))",,94775,,,,10314,10314,1622610685,1622602613,CYPRESS CREST LN,2,,5,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,V,,,,LN,,,CYPRESS CREST LN,CYPRESS CREST,,215.571960994
"MULTILINESTRING ((-73.95474566492477 40.696994607088804, -73.95430689642816 40.69479056399901))",67,47311,131,72,134,11205,11205,1922612819,1922610413,WALWORTH ST,2,,3,24,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TF,1,13,13,H,,,,ST,,,WALWORTH ST,WALWORTH,,812.163354016
"MULTILINESTRING ((-74.01057235584338 40.63796466414316, -74.00837574781073 40.6366365576289))",701,42619,799,700,798,11220,11220,1922608465,1922610898,58 ST,2,,3,30,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,FT,1,13,13,S,,,,ST,,,58 ST,58,,778.330709528
"MULTILINESTRING ((-73.84494326369322 40.83709322217198, -73.8458086379506 40.83751312146566))",1357,61335,1399,1358,1364,10461,10461,1422606148,1422602004,HERSCHELL ST,2,,2,30,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,H,,,,ST,,,HERSCHELL ST,HERSCHELL,,284.155388517
"MULTILINESTRING ((-74.13609026778178 40.60413086111318, -74.13532248219795 40.604189662118465))",43,94303,69,44,60,10314,10314,1622612036,1622609781,PRESIDENT ST,2,,5,38,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,S,,,,ST,,,PRESIDENT ST,PRESIDENT,,214.271871219
"MULTILINESTRING ((-73.92252465335248 40.85951850445461, -73.92239298148154 40.859437706451104, -73.921760963302 40.85862504145975, -73.92173050178266 40.85799553553433, -73.92181981024588 40.85786022354022))",,170875,,,,10040,10040,1322608184,1322600323,DRIVEWAY,2,,1,28,12/15/2015 12:00:00 AM +0000,09/12/2017 12:00:00 AM +0000,TW,8,13,13,,,,,,,,DRIVEWAY,DRIVEWAY,,675.330704056
"MULTILINESTRING ((-73.90122534987624 40.8354999107348, -73.90056610868113 40.836592508257226))",1431,35332,1499,0,0,10456,10456,1422605319,1422602301,FULTON AVE,2,,2,34,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,FT,1,13,13,C,,,,AVE,,,FULTON AVE,FULTON,,437.881875023
"MULTILINESTRING ((-73.97066323798025 40.62659864643485, -73.96955129451301 40.626722133719326))",601,43450,699,600,698,11230,11230,1822601216,1822608492,AVE I,2,,3,44,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,,AVE,,,I AVE,I,,311.921357405
"MULTILINESTRING ((-73.77891535763352 40.701794825490566, -73.7787514314986 40.701573352946816))",0,103751,0,107-012,107-016,11433,11433,62265739,62262471,178 ST,2,,4,50,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,H,,,,ST,,,178 ST,178,,92.6101835171
